Atom,MW,EN,RC,Ratio,Zn2+,Mn2+,Potential Windows,Current Density,Specific Capacity
Ag,104.86,1.93,1.26,0.054,2,0.2,0.8,0.5,248
Ag,104.86,1.93,1.26,0.054,2,0.2,0.8,1,219
Ag,104.86,1.93,1.26,0.054,2,0.2,0.8,1.5,187
Ag,104.86,1.93,1.26,0.054,2,0.2,0.8,2,160
Sn,118.71,1.96,0.69,0.084,2,0.1,1,0.5,121.5522
Sn,118.71,1.96,0.69,0.084,2,0.1,1,1,72.40823
Sn,118.71,1.96,0.69,0.084,2,0.1,1,2,42.90423
La,138.91,1.1,1.064,0.015,1,0.4,1.1,0.1,280.93039
La,138.91,1.1,1.064,0.015,1,0.4,1.1,0.2,229.69258
La,138.91,1.1,1.064,0.015,1,0.4,1.1,0.4,201.62693
La,138.91,1.1,1.064,0.015,1,0.4,1.1,0.8,172.48183
La,138.91,1.1,1.064,0.015,1,0.4,1.1,1.2,144.41618
La,138.91,1.1,1.064,0.015,1,0.4,1.1,1.6,124.33844
La,138.91,1.1,1.064,0.006,1,0.4,1.1,0.1,234.74575
La,138.91,1.1,1.064,0.006,1,0.4,1.1,0.2,201.01504
La,138.91,1.1,1.064,0.006,1,0.4,1.1,0.4,168.1524
La,138.91,1.1,1.064,0.006,1,0.4,1.1,0.8,118.92045
La,138.91,1.1,1.064,0.006,1,0.4,1.1,1.2,84.32167
La,138.91,1.1,1.064,0.006,1,0.4,1.1,1.6,80.04332
La,138.91,1.1,1.064,0.017,1,0.4,1.1,0.1,261.72637
La,138.91,1.1,1.064,0.017,1,0.4,1.1,0.2,223.31417
La,138.91,1.1,1.064,0.017,1,0.4,1.1,0.4,184.00568
La,138.91,1.1,1.064,0.017,1,0.4,1.1,0.8,136.63062
La,138.91,1.1,1.064,0.017,1,0.4,1.1,1.2,108.07755
La,138.91,1.1,1.064,0.017,1,0.4,1.1,1.6,95.59358
Ce,140.12,1.1,1.061,0.0012,2,0.4,0.8,0.154,205.28888
Ce,140.12,1.1,1.061,0.0012,2,0.4,0.8,0.308,167.79785
Ce,140.12,1.1,1.061,0.0012,2,0.4,0.8,0.616,124.03343
Ce,140.12,1.1,1.061,0.0012,2,0.4,0.8,0.924,94.90693
Ce,140.12,1.1,1.061,0.0012,2,0.4,0.8,1.232,72.05384
Ce,140.12,1.1,1.061,0.0012,2,0.4,0.8,1.54,59.50704
Ce,140.12,1.1,1.061,0.309,2,0.1,1,0.1,310
Ce,140.12,1.1,1.061,0.309,2,0.1,1,0.2,267.2
Ce,140.12,1.1,1.061,0.309,2,0.1,1,0.5,211.4
Ce,140.12,1.1,1.061,0.309,2,0.1,1,1,153.7
Ce,140.12,1.1,1.061,0.309,2,0.1,1,2,105.1
Eu,151.96,1.2,0.947,0.1,2,0.1,1.1,0.2,242.09875
Eu,151.96,1.2,0.947,0.1,2,0.1,1.1,0.4,195.15056
