MW,EN,RC,Ratio,Zn2+,Mn2+,Potential Windows,Current Density
63.55,1.9,0.73,0.1,2.0,0.2,1.1,5.0
151.96,1.2,0.947,0.1,2.0,0.1,1.1,0.2
104.86,1.93,1.26,0.054,2.0,0.2,0.8,1.5
151.96,1.2,0.947,0.067,2.0,0.1,1.1,0.4
22.99,0.93,1.02,0.43,2.0,0.1,0.85,0.3
208.98,2.02,1.03,0.12,2.0,0.2,0.8,1.0
208.98,2.02,1.03,0.03,2.0,0.2,0.8,0.6
22.99,0.93,1.02,0.15,2.0,0.1,0.8,0.5
151.96,1.2,0.947,0.067,2.0,0.1,1.1,0.8
6.94,0.98,0.76,0.52,2.0,0.1,0.85,2.0
55.85,1.83,0.645,0.0015,2.0,0.1,0.9,3.0
26.98,1.61,0.535,0.045,2.0,0.2,0.9,0.2
118.71,1.96,0.69,0.084,2.0,0.1,1.0,0.5
63.55,1.9,0.73,0.0595,2.0,0.2,1.1,0.7
140.12,1.1,1.061,0.0012,2.0,0.4,0.8,0.924
151.96,1.2,0.947,0.033,2.0,0.1,1.1,0.6
58.69,1.91,0.69,0.1932,3.0,0.2,0.9,3.0
39.09,0.82,1.38,0.19,3.0,0.2,1.1,0.308
58.69,1.91,0.69,0.1932,3.0,0.2,0.9,0.3
55.85,1.83,0.645,0.0208,2.0,0.2,0.8,5.0
208.98,2.02,1.03,0.09,2.0,0.2,0.8,3.0
6.94,0.98,0.76,0.026,2.0,0.1,1.0,0.5
39.09,0.82,1.38,0.07,3.0,0.2,1.1,0.924
208.98,2.02,1.03,0.03,2.0,0.2,0.8,0.1
39.09,0.82,1.38,0.19,3.0,0.2,1.1,0.924
39.09,0.82,1.38,0.42,2.0,0.1,0.85,0.1
140.12,1.1,1.061,0.309,2.0,0.1,1.0,2.0
63.55,1.9,0.73,0.06,2.0,0.1,1.1,2.0
39.09,0.82,1.38,0.19,3.0,0.0,1.6,6.0
55.85,1.83,0.645,0.0208,2.0,0.2,0.8,0.1
208.98,2.02,1.03,0.06,2.0,0.2,0.8,0.4
138.91,1.1,1.064,0.006,1.0,0.4,1.1,1.6
63.55,1.9,0.73,0.06,2.0,0.1,1.1,0.4
22.99,0.93,1.02,0.22,2.0,0.2,0.9,4.928
208.98,2.02,1.03,0.09,2.0,0.1,1.1,0.8
50.94,1.63,0.59,0.05,1.0,0.0,0.8,0.066
39.09,0.82,1.38,0.23,2.0,0.1,1.0,0.4
138.91,1.1,1.064,0.015,1.0,0.4,1.1,0.4
138.91,1.1,1.064,0.006,1.0,0.4,1.1,0.2
39.09,0.82,1.38,0.19,3.0,0.0,1.6,8.0
151.96,1.2,0.947,0.1,2.0,0.1,1.1,1.0
208.98,2.02,1.03,0.12,2.0,0.2,0.8,0.1
208.98,2.02,1.03,0.09,2.0,0.2,0.8,0.6
104.86,1.93,1.26,0.054,2.0,0.2,0.8,1.0
22.99,0.93,1.02,0.43,2.0,0.1,0.85,2.0
39.09,0.82,1.38,0.42,2.0,0.1,0.85,1.0
39.09,0.82,1.38,0.112,3.0,0.2,1.0,0.616
208.98,2.02,1.03,0.09,2.0,0.1,1.1,2.0
140.12,1.1,1.061,0.0012,2.0,0.4,0.8,1.232
208.98,2.02,1.03,0.06,2.0,0.2,0.8,0.1
104.86,1.93,1.26,0.054,2.0,0.2,0.8,2.0
63.55,1.9,0.73,0.0595,2.0,0.2,1.1,0.5
39.09,0.82,1.38,0.19,3.0,0.0,1.6,1.0
138.91,1.1,1.064,0.017,1.0,0.4,1.1,0.1
63.55,1.9,0.73,0.1,2.0,0.2,1.1,0.1
104.86,1.93,1.26,0.1,2.0,0.1,1.0,0.1
138.91,1.1,1.064,0.017,1.0,0.4,1.1,0.8
151.96,1.2,0.947,0.04,2.0,0.1,1.1,0.2
6.94,0.98,0.76,0.52,2.0,0.1,0.85,1.0
40.08,1.0,0.99,0.28,1.0,0.1,1.5,3.5
39.09,0.82,1.38,0.14,2.0,0.1,1.0,0.6
55.85,1.83,0.645,0.1958,3.0,0.2,0.9,3.0
6.94,0.98,0.76,0.52,2.0,0.1,0.85,0.3
55.85,1.83,0.645,0.1958,3.0,0.2,0.9,0.5
40.08,1.0,0.99,0.28,1.0,0.1,1.5,0.175
39.09,0.82,1.38,0.42,2.0,0.1,0.85,3.0
63.55,1.9,0.73,0.0595,2.0,0.2,1.1,1.0
39.09,0.82,1.38,0.23,2.0,0.1,1.0,0.2
138.91,1.1,1.064,0.015,1.0,0.4,1.1,0.1
26.98,1.61,0.535,0.045,2.0,0.2,0.9,1.0
39.09,0.82,1.38,0.112,3.0,0.2,1.0,2.464
39.09,0.82,1.38,0.14,2.0,0.1,1.0,0.4
151.96,1.2,0.947,0.067,2.0,0.1,1.1,0.6
22.99,0.93,1.02,0.43,2.0,0.1,0.85,1.0
39.09,0.82,1.38,0.18,2.0,0.4,1.1,2.0
65.41,1.65,0.74,0.16,2.0,0.1,0.9,0.6
